merge_lane_vehicle-mc-py_1  | [14:49:56] [MC] [DEMO] MERGE_REQUEST enviado — a pausar
merge_lane_vehicle-a-py_1   | [14:49:56] [A] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-b-py_1   | [14:49:56] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-c-py_1   | [14:49:56] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1
merge_lane_vehicle-mc-py_1  | [14:50:01] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-c-py_1   | [14:50:01] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:50:06] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-b-py_1   | [14:50:06] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:50:11] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3
merge_lane_vehicle-mc-py_1  | [14:50:16] [MC] [DEMO] MERGE_GRANT(recusa) — a retomar para retry
merge_lane_vehicle-a-py_1   | [14:50:16] [A] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-b-py_1   | [14:50:16] [B] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-c-py_1   | [14:50:16] [C] [DEMO] MERGE_CONFIRMED — a retomar




merge_lane_vehicle-mc-py_1  | [14:50:18] [MC] [DEMO] MERGE_REQUEST enviado — a pausar                               --- Enviou MERGE_REQUEST
merge_lane_vehicle-b-py_1   | [14:50:18] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1       --- Recebeu MERGE_REQUEST
merge_lane_vehicle-c-py_1   | [14:50:18] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=1 itssRole=1       --- Recebeu MERGE_REQUEST

merge_lane_vehicle-mc-py_1  | [14:50:23] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3      --- Recebey MERGE_GRANT
merge_lane_vehicle-mc-py_1  | [14:50:28] [MC] [DEMO] a aguardar 5s antes de processar MCM mcmType=2 itssRole=3      --- Recebeu MERGE_GRANT

merge_lane_vehicle-mc-py_1  | [14:50:33] [MC] [DEMO] todos os grants recebidos — a retomar
merge_lane_vehicle-b-py_1   | [14:50:33] [B] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-b-py_1   | [14:50:33] [B] [DEMO] a aguardar 5s antes de processar MCM mcmType=7 itssRole=1
merge_lane_vehicle-c-py_1   | [14:50:33] [C] [DEMO] MERGE_CONFIRMED — a retomar
merge_lane_vehicle-c-py_1   | [14:50:33] [C] [DEMO] a aguardar 5s antes de processar MCM mcmType=7 itssRole=1
